iter	Passed	Remaining
554	719	576
555	720	575
556	722	574
557	723	573
558	725	572
559	726	570
560	727	569
561	728	567
562	729	566
563	730	565
564	732	563
565	734	563
566	735	561
567	737	560
568	738	559
569	740	558
570	741	556
571	742	555
572	743	553
573	744	552
574	747	552
575	748	550
576	749	549
577	751	548
578	752	547
579	753	545
580	754	544
581	755	542
582	756	541
583	757	539
584	758	538
585	759	536
586	760	535
587	762	534
588	763	532
589	764	530
590	765	529
591	766	528
592	767	526
593	768	525
594	769	523
595	770	522
596	771	520
597	773	519
598	774	518
599	776	517
600	777	515
601	778	514
602	779	513
603	780	511
604	781	510
605	782	508
606	784	507
607	785	506
608	787	505
609	788	504
610	790	502
611	791	501
612	793	500
613	794	499
614	796	498
615	797	496
616	798	495
617	799	494
618	800	492
619	801	491
620	803	490
621	803	488
622	805	487
623	806	485
624	807	484
625	808	482
626	809	481
627	810	480
628	812	479
629	814	478
630	815	476
631	816	475
632	817	474
633	819	473
634	820	471
635	822	470
636	823	469
637	825	468
638	827	467
639	828	466
640	829	464
641	831	463
642	832	462
643	833	460
644	835	459
645	836	458
646	837	456
647	839	455
648	840	454
649	842	453
650	843	452
651	844	450
652	846	449
653	848	448
654	849	447
655	850	446
656	851	444
657	853	443
658	854	442
659	855	440
660	856	439
661	858	438
662	858	436
663	860	435
664	861	434
665	863	432
666	864	431
667	866	430
668	866	428
669	868	427
670	869	426
671	870	425
672	871	423
673	873	422
674	874	421
675	875	419
676	876	418
677	878	417
678	879	415
679	880	414
680	881	413
681	882	411
682	884	410
683	885	408
684	886	407
685	888	406
686	889	405
687	890	403
688	891	402
689	892	401
690	893	399
691	895	398
692	896	396
693	896	395
694	898	394
695	899	392
696	900	391
697	902	390
698	903	389
699	905	387
700	905	386
701	906	384
702	907	383
703	908	381
704	909	380
705	910	379
706	911	377
707	912	376
708	914	375
709	916	374
710	917	373
711	919	371
712	920	370
713	922	369
714	923	368
715	924	366
716	925	365
717	926	364
718	927	362
719	929	361
720	930	360
721	931	358
722	933	357
723	933	356
724	935	354
725	936	353
726	937	351
727	938	350
728	939	349
729	940	347
730	941	346
731	942	345
732	943	343
733	945	342
734	946	341
735	948	340
736	949	338
737	951	337
738	952	336
739	953	335
740	955	333
741	956	332
742	957	331
743	958	329
744	960	328
745	961	327
746	962	326
747	964	324
748	964	323
749	966	322
750	967	320
751	968	319
752	969	317
753	970	316
754	971	315
755	972	313
756	974	312
757	976	311
758	977	310
759	978	309
760	980	307
761	981	306
762	982	305
763	983	303
764	985	302
765	986	301
766	987	299
767	988	298
768	989	297
769	990	295
770	991	294
771	993	293
772	994	292
773	995	290
774	996	289
775	997	287
776	998	286
777	1000	285
778	1001	284
779	1002	282
780	1003	281
781	1005	280
782	1006	278
783	1006	277
784	1008	276
785	1009	274
786	1010	273
787	1011	272
788	1013	270
789	1014	269
790	1016	268
791	1017	267
792	1018	265
793	1019	264
794	1020	263
795	1022	262
796	1024	260
797	1025	259
798	1026	258
799	1027	256
800	1028	255
801	1030	254
802	1031	253
803	1033	251
804	1034	250
805	1035	249
806	1036	247
807	1038	246
808	1039	245
809	1040	244
810	1042	242
811	1044	241
812	1045	240
813	1047	239
814	1048	237
815	1049	236
816	1050	235
817	1052	234
818	1054	233
819	1055	231
820	1056	230
821	1057	229
822	1059	227
823	1060	226
824	1062	225
825	1063	223
826	1064	222
827	1065	221
828	1066	219
829	1068	218
830	1069	217
831	1070	216
832	1072	214
833	1073	213
834	1075	212
835	1075	211
836	1077	209
837	1078	208
838	1079	207
839	1080	205
840	1081	204
841	1082	203
842	1083	201
843	1084	200
844	1085	199
845	1087	197
846	1088	196
847	1089	195
848	1091	194
849	1092	192
850	1093	191
851	1094	190
852	1095	188
853	1096	187
854	1098	186
855	1100	185
856	1101	183
857	1103	182
858	1104	181
859	1105	179
860	1106	178
861	1107	177
862	1108	175
863	1109	174
864	1111	173
865	1112	172
866	1113	170
867	1115	169
868	1117	168
869	1119	167
870	1120	165
871	1121	164
872	1123	163
873	1125	162
874	1125	160
875	1127	159
876	1128	158
877	1129	156
878	1131	155
879	1133	154
880	1134	153
881	1135	151
882	1136	150
883	1138	149
884	1139	148
885	1140	146
886	1142	145
887	1142	144
888	1144	142
889	1145	141
890	1147	140
891	1148	139
892	1149	137
893	1151	136
894	1152	135
895	1153	133
896	1155	132
897	1156	131
898	1158	130
899	1159	128
900	1161	127
901	1162	126
902	1164	125
903	1165	123
904	1166	122
905	1167	121
906	1168	119
907	1169	118
908	1171	117
909	1172	115
910	1173	114
911	1175	113
912	1176	112
913	1178	110
914	1179	109
915	1180	108
916	1181	106
917	1183	105
918	1184	104
919	1186	103
920	1187	101
921	1189	100
922	1191	99
923	1192	98
924	1193	96
925	1194	95
926	1196	94
927	1197	92
928	1198	91
929	1199	90
930	1201	89
931	1201	87
932	1203	86
933	1205	85
934	1206	83
935	1208	82
936	1209	81
937	1211	80
938	1212	78
939	1213	77
940	1214	76
941	1215	74
942	1216	73
943	1218	72
944	1219	70
945	1221	69
946	1222	68
947	1224	67
948	1225	65
949	1226	64
950	1227	63
951	1229	61
952	1230	60
953	1231	59
954	1232	58
955	1234	56
956	1235	55
957	1236	54
958	1237	52
959	1239	51
960	1239	50
961	1241	49
962	1241	47
963	1243	46
964	1244	45
965	1245	43
966	1246	42
967	1247	41
968	1249	39
969	1250	38
970	1251	37
971	1253	36
972	1253	34
973	1254	33
974	1255	32
975	1257	30
976	1258	29
977	1259	28
978	1260	27
979	1261	25
980	1263	24
981	1264	23
982	1265	21
983	1266	20
984	1268	19
985	1269	18
986	1270	16
987	1272	15
988	1273	14
989	1274	12
990	1275	11
991	1276	10
992	1278	9
993	1279	7
994	1280	6
995	1281	5
996	1282	3
997	1284	2
998	1285	1
999	1287	0
